verbal quant analytic group

56.00	56.00	59.00	.00
59.00	42.00	54.00	.00
62.00	43.00	52.00	.00
74.00	35.00	46.00	.00
63.00	39.00	49.00	.00
68.00	50.00	36.00	.00
54.00	54.00	29.00	.00
56.00	52.00	57.00	.00
51.00	46.00	65.00	.00
49.00	39.00	61.00	.00
66.00	55.00	69.00	1.00
69.00	59.00	74.00	1.00
74.00	68.00	73.00	1.00
73.00	57.00	58.00	1.00
84.00	62.00	78.00	1.00
68.00	74.00	69.00	1.00
75.00	76.00	74.00	1.00
79.00	79.00	81.00	1.00
73.00	82.00	83.00	1.00
70.00	74.00	75.00	1.00
85.00	83.00	85.00	2.00
86.00	79.00	97.00	2.00
82.00	84.00	96.00	2.00
76.00	82.00	91.00	2.00
79.00	86.00	86.00	2.00
94.00	94.00	84.00	2.00
92.00	81.00	92.00	2.00
86.00	82.00	93.00	2.00
98.00	98.00	92.00	2.00
85.00	93.00	81.00	2.00
